iter	Passed	Remaining
401	16850	25065
402	16894	25027
403	16908	24944
404	16951	24904
405	16990	24857
406	17040	24828
407	17100	24812
408	17131	24754
409	17169	24707
410	17220	24678
411	17255	24627
412	17294	24580
413	17330	24530
414	17367	24481
415	17409	24440
416	17446	24391
417	17485	24345
418	17524	24299
419	17570	24264
420	17607	24215
421	17651	24176
422	17685	24124
423	17728	24084
424	17769	24041
425	17821	24012
426	17858	23965
427	17906	23930
428	17940	23879
429	17976	23828
430	17999	23762
431	18046	23727
432	18086	23683
433	18122	23634
434	18157	23583
435	18202	23546
436	18236	23494
437	18254	23422
438	18299	23384
439	18338	23339
440	18376	23293
441	18415	23248
442	18455	23204
443	18496	23162
444	18541	23124
445	18594	23097
446	18635	23054
447	18683	23021
448	18737	22993
449	18777	22950
450	18813	22902
451	18856	22861
452	18893	22814
453	18948	22788
454	19000	22758
455	19034	22707
456	19071	22660
457	19122	22629
458	19160	22582
459	19201	22540
460	19246	22502
461	19287	22460
462	19325	22414
463	19362	22366
464	19401	22322
465	19438	22275
466	19480	22233
467	19514	22183
468	19548	22132
469	19595	22096
470	19649	22069
471	19689	22025
472	19748	22002
473	19784	21954
474	19818	21904
475	19868	21872
476	19921	21842
477	19965	21803
478	20011	21766
479	20054	21725
480	20100	21688
481	20141	21645
482	20199	21620
483	20237	21575
484	20279	21534
485	20323	21494
486	20357	21444
487	20401	21404
488	20433	21353
489	20465	21300
490	20481	21232
491	20513	21180
492	20553	21137
493	20588	21088
494	20642	21059
495	20674	21007
496	20694	20944
497	20748	20914
498	20785	20868
499	20832	20832
500	20873	20789
501	20894	20728
502	20933	20683
503	20972	20639
504	21023	20606
505	21075	20576
506	21120	20537
507	21163	20497
508	21203	20453
509	21249	20415
510	21296	20379
511	21333	20333
512	21379	20295
513	21398	20233
514	21414	20166
515	21459	20128
516	21504	20090
517	21556	20058
518	21586	20005
519	21628	19964
520	21682	19934
521	21732	19900
522	21795	19878
523	21850	19848
524	21905	19819
525	21965	19793
526	22011	19756
527	22064	19724
528	22098	19675
529	22142	19635
530	22176	19586
531	22214	19541
532	22249	19493
533	22291	19453
534	22326	19405
535	22367	19363
536	22414	19325
537	22448	19277
538	22500	19244
539	22560	19218
540	22606	19180
541	22643	19134
542	22676	19084
543	22711	19037
544	22756	18998
545	22795	18954
546	22837	18912
547	22862	18857
548	22911	18821
549	22947	18775
550	22998	18741
551	23041	18700
552	23097	18670
553	23135	18625
554	23180	18585
555	23222	18544
556	23249	18491
557	23295	18452
558	23336	18410
559	23370	18362
560	23412	18320
561	23450	18276
562	23498	18239
563	23539	18197
564	23584	18158
565	23618	18110
566	23663	18070
567	23704	18028
568	23774	18008
569	23814	17965
570	23852	17920
571	23911	17891
572	23944	17843
573	23997	17809
574	24064	17786
575	24115	17751
576	24162	17713
577	24232	17692
578	24281	17655
579	24336	17622
580	24384	17585
581	24441	17554
582	24523	17540
583	24555	17491
584	24600	17451
585	24635	17404
586	24680	17364
587	24714	17316
588	24763	17279
589	24802	17235
590	24838	17189
591	24895	17157
592	24948	17123
593	24987	17079
594	25012	17024
