iter	RMSE
486	5.654446317
487	5.653970719
488	5.653478683
489	5.652593109
490	5.651895612
491	5.651394961
492	5.651387251
493	5.650749425
494	5.65022995
495	5.65022959
496	5.649262051
497	5.647955116
498	5.647915565
499	5.647690747
500	5.647124697
501	5.646929624
502	5.646810472
503	5.646192634
504	5.646132222
505	5.646127053
506	5.646115947
507	5.6459259
508	5.645437229
509	5.645428342
510	5.644612338
511	5.644299613
512	5.644190276
513	5.643539705
514	5.642639725
515	5.642636324
516	5.641252237
517	5.641135846
518	5.640318237
519	5.640318034
520	5.640314815
521	5.640136785
522	5.639873725
523	5.639725611
524	5.638909189
525	5.638560336
526	5.637919591
527	5.637919449
528	5.636522244
529	5.635223596
530	5.635220583
531	5.63479266
532	5.634772234
533	5.634723062
534	5.634656204
535	5.63431093
536	5.633730413
537	5.633337983
538	5.633064133
539	5.633056242
540	5.633033473
541	5.633007417
542	5.632742038
543	5.632195755
544	5.632023654
545	5.632017036
546	5.631093809
547	5.630359267
548	5.630336991
549	5.629533166
550	5.62943044
551	5.629209091
552	5.628242854
553	5.627837524
554	5.627831421
555	5.627273997
556	5.627079991
557	5.627062742
558	5.627056386
559	5.626693009
560	5.626693009
561	5.625637777
562	5.625632144
563	5.624585695
564	5.624132429
565	5.624132429
566	5.624034078
567	5.624027785
568	5.623613391
569	5.623172341
570	5.621940161
571	5.621865088
572	5.621547453
573	5.620962618
574	5.620238776
575	5.619300036
576	5.619264982
577	5.618867214
578	5.618867213
579	5.617551785
580	5.617551785
581	5.616480405
582	5.616475343
583	5.6164165
584	5.616414706
585	5.616378363
586	5.616192294
587	5.616190542
588	5.61539018
589	5.615251178
590	5.614670922
591	5.614039801
592	5.61305706
593	5.612236875
594	5.610594267
595	5.610213005
596	5.609830917
597	5.609653774
598	5.608653952
599	5.608091813
600	5.607988006
601	5.607910551
602	5.607900609
603	5.607878226
604	5.607703598
605	5.607198734
606	5.606964181
607	5.606880709
608	5.604960485
609	5.604774704
610	5.604631053
611	5.604492059
612	5.604471353
613	5.603418703
614	5.603363085
615	5.603356923
616	5.602111723
617	5.601766857
618	5.601484899
619	5.601150258
620	5.601146461
621	5.601140846
622	5.601130835
623	5.600950641
624	5.600706114
625	5.600517427
626	5.600427765
627	5.599929363
628	5.598698638
629	5.598531122
630	5.597856352
631	5.597677346
632	5.597593606
633	5.597402043
634	5.596108368
635	5.596061584
636	5.596055696
637	5.595623092
638	5.595621684
639	5.595616212
640	5.595422492
641	5.594099156
642	5.594095561
643	5.593985731
644	5.593896629
645	5.593087749
646	5.592947446
647	5.592564684
648	5.592559147
649	5.592512794
650	5.592097111
651	5.590900323
652	5.590869309
653	5.590734954
654	5.590332917
655	5.590244647
656	5.590106602
657	5.590106599
658	5.590103109
659	5.590076029
660	5.59005068
661	5.589435606
662	5.589410596
663	5.589361933
664	5.588756741
665	5.588685916
666	5.588682802
667	5.588677396
668	5.58806924
669	5.58798818
670	5.58755189
671	5.587040117
672	5.585665807
673	5.58565932
674	5.585656343
675	5.585218055
676	5.585211738
677	5.584569402
678	5.583694821
679	5.583558578
680	5.583216612
681	5.583134983
682	5.583094986
683	5.582607463
684	5.581890162
685	5.581752898
686	5.581730902
687	5.5816269
688	5.581567273
689	5.581547137
690	5.580876582
691	5.580873911
692	5.579815032
693	5.579559628
694	5.579541329
695	5.57944728
696	5.579447279
697	5.579398661
698	5.579108351
699	5.578559148
700	5.577170596
701	5.577135267
702	5.577052891
703	5.577030332
704	5.577028066
705	5.575890328
706	5.575825426
707	5.575722182
708	5.575447343
709	5.574938448
710	5.574874059
711	5.57483954
712	5.57476542
713	5.574763295
714	5.574607013
715	5.574600391
716	5.574598368
717	5.574554114
718	5.574302502
719	5.574165041
720	5.573751137
721	5.573311914
722	5.573221228
723	5.572888139
724	5.57246152
725	5.571830125
726	5.571628781
727	5.571222368
728	5.571221098
729	5.570993788
730	5.570988041
731	5.570972015
732	5.57096393
733	5.570963929
734	5.570524082
735	5.570053472
736	5.570051814
737	5.56995773
738	5.569605795
739	5.569605244
740	5.569214437
741	5.568532493
742	5.56853205
743	5.567498404
744	5.567234164
745	5.567211335
746	5.56681036
747	5.566658089
748	5.566404493
749	5.564784309
750	5.564445152
751	5.563699646
752	5.563627529
753	5.563627122
754	5.56338259
755	5.563381039
756	5.563349248
757	5.562600956
758	5.562600581
759	5.562352178
760	5.562216147
761	5.56037836
762	5.560338552
763	5.559591715
764	5.559289661
765	5.557897868
766	5.557677625
767	5.557677279
768	5.556796877
769	5.556795449
770	5.55615015
771	5.555292711
772	5.555280449
773	5.553881502
774	5.553280523
775	5.55328015
776	5.552288752
777	5.551591734
778	5.551460809
779	5.549998204
780	5.549997771
781	5.549790132
782	5.549739446
783	5.549599973
784	5.549292587
785	5.549157167
786	5.548500018
787	5.548184949
788	5.548080607
789	5.548079356
790	5.547688632
791	5.547540772
792	5.547275023
793	5.547274656
794	5.547274298
795	5.547273949
796	5.547201235
797	5.547190959
798	5.547096942
799	5.546963101
800	5.546445455
801	5.546444327
802	5.546002019
803	5.54580709
804	5.545806793
805	5.545438452
806	5.545409779
807	5.543930175
808	5.543517274
809	5.542920707
810	5.542916136
811	5.542878058
812	5.542731075
813	5.54255666
814	5.542127984
815	5.541996462
816	5.541590581
817	5.541269907
818	5.540968434
819	5.540836102
820	5.540756576
821	5.53977595
822	5.539683759
823	5.538729717
824	5.537998011
825	5.537863044
826	5.53781742
827	5.537817404
828	5.537099189
829	5.536530988
830	5.535045425
831	5.53456344
832	5.533629226
833	5.533595251
834	5.532018266
835	5.531553798
836	5.531552906
837	5.530983609
838	5.530803892
839	5.530518189
840	5.530138038
841	5.530076008
842	5.529195202
843	5.528500852
844	5.528326844
845	5.528305629
846	5.527992848
847	5.527659363
848	5.527241601
849	5.526486228
850	5.526420849
851	5.525688994
852	5.525610526
853	5.524237041
854	5.52412563
855	5.523917234
856	5.523246289
857	5.523054606
858	5.52274038
859	5.52269085
860	5.522547891
861	5.522118435
862	5.521872083
863	5.521796566
864	5.521046168
865	5.520872577
866	5.520416911
867	5.520174036
868	5.519765351
869	5.51926844
870	5.519060243
871	5.518601678
872	5.518480254
873	5.518141335
874	5.517568426
875	5.516811359
876	5.516157033
877	5.515988604
878	5.515098604
879	5.51503474
880	5.514898151
881	5.514892749
882	5.514667598
883	5.514419608
884	5.514378331
885	5.513713186
886	5.513599846
887	5.513518909
888	5.513324034
889	5.513301402
890	5.513101598
891	5.51287715
892	5.512876332
893	5.512822933
894	5.512638319
895	5.512490046
896	5.512188193
897	5.512116531
898	5.512048
899	5.511860917
900	5.511759776
901	5.51174659
902	5.511466411
903	5.511360041
904	5.510718405
905	5.51017808
906	5.509835835
907	5.509716574
908	5.509328667
909	5.509320022
910	5.508476256
911	5.508070393
912	5.507951285
913	5.507829736
914	5.507760859
915	5.507664749
916	5.506671744
917	5.506517515
918	5.506335325
919	5.505940328
920	5.505912049
921	5.505911409
922	5.505267177
923	5.504949606
924	5.50492242
925	5.504131291
926	5.504083586
927	5.504050389
928	5.504002667
929	5.503393379
930	5.5033928
931	5.502685232
932	5.502675945
933	5.502516465
934	5.502464449
935	5.502329914
936	5.50207114
937	5.501624554
938	5.500407367
939	5.500320156
940	5.500313457
941	5.500309763
942	5.50030929
943	5.498336006
944	5.498336006
945	5.498321079
946	5.497365243
947	5.497247695
948	5.497247695
949	5.497005803
950	5.497005352
951	5.496998168
952	5.496738924
953	5.496722324
954	5.496575103
955	5.496145999
956	5.496139429
957	5.496133212
958	5.496117112
959	5.495851703
960	5.49565693
961	5.495612644
962	5.4948949
963	5.494894459
964	5.494482904
965	5.494240573
966	5.494081033
967	5.49407616
968	5.494076153
969	5.493983659
970	5.493977101
971	5.493804177
972	5.493804177
973	5.493788655
974	5.49377196
975	5.493595626
976	5.492013793
977	5.491630312
978	5.490632806
979	5.490632395
980	5.490575894
981	5.490473794
982	5.489761071
983	5.489551324
984	5.48906186
985	5.48836987
986	5.488360903
987	5.487982875
988	5.487980133
989	5.48798013
990	5.487712425
991	5.487712416
992	5.4867699
993	5.486769824
994	5.486755552
995	5.486348728
996	5.486342163
997	5.486162571
998	5.486132449
999	5.485686864
